Målepunkt id,Fra dato,Til dato,Mængde,Måleenhed
571313115103364037,29-08-2018 kl. 18,29-08-2018 kl. 19,0.495,kWh
571313115103364037,29-08-2018 kl. 17,29-08-2018 kl. 18,0.291,kWh
571313115103364037,29-08-2018 kl. 16,29-08-2018 kl. 17,0.277,kWh
571313115103364037,29-08-2018 kl. 15,29-08-2018 kl. 16,0.427,kWh
571313115103364037,29-08-2018 kl. 14,29-08-2018 kl. 15,0.294,kWh
571313115103364037,29-08-2018 kl. 13,29-08-2018 kl. 14,0.529,kWh
571313115103364037,29-08-2018 kl. 12,29-08-2018 kl. 13,0.411,kWh
571313115103364037,29-08-2018 kl. 11,29-08-2018 kl. 12,0.172,kWh
571313115103364037,29-08-2018 kl. 10,29-08-2018 kl. 11,0.086,kWh
571313115103364037,29-08-2018 kl. 09,29-08-2018 kl. 10,0.083,kWh
571313115103364037,29-08-2018 kl. 08,29-08-2018 kl. 09,0.09,kWh
571313115103364037,29-08-2018 kl. 07,29-08-2018 kl. 08,0.079,kWh
571313115103364037,29-08-2018 kl. 06,29-08-2018 kl. 07,0.084,kWh
571313115103364037,29-08-2018 kl. 05,29-08-2018 kl. 06,0.092,kWh
571313115103364037,29-08-2018 kl. 04,29-08-2018 kl. 05,0.128,kWh
571313115103364037,29-08-2018 kl. 03,29-08-2018 kl. 04,0.075,kWh
571313115103364037,29-08-2018 kl. 02,29-08-2018 kl. 03,0.078,kWh
571313115103364037,29-08-2018 kl. 01,29-08-2018 kl. 02,0.112,kWh
571313115103364037,29-08-2018 kl. 00,29-08-2018 kl. 01,0.106,kWh
571313115103364037,28-08-2018 kl. 23,29-08-2018 kl. 00,0.17,kWh
571313115103364037,28-08-2018 kl. 22,28-08-2018 kl. 23,0.336,kWh
571313115103364037,28-08-2018 kl. 21,28-08-2018 kl. 22,0.308,kWh
571313115103364037,28-08-2018 kl. 20,28-08-2018 kl. 21,0.281,kWh
571313115103364037,28-08-2018 kl. 19,28-08-2018 kl. 20,0.21,kWh
571313115103364037,28-08-2018 kl. 18,28-08-2018 kl. 19,0.216,kWh
571313115103364037,28-08-2018 kl. 17,28-08-2018 kl. 18,0.248,kWh
571313115103364037,28-08-2018 kl. 16,28-08-2018 kl. 17,0.173,kWh
571313115103364037,28-08-2018 kl. 15,28-08-2018 kl. 16,0.279,kWh
571313115103364037,28-08-2018 kl. 14,28-08-2018 kl. 15,0.31,kWh
571313115103364037,28-08-2018 kl. 13,28-08-2018 kl. 14,0.308,kWh
571313115103364037,28-08-2018 kl. 12,28-08-2018 kl. 13,0.406,kWh
571313115103364037,28-08-2018 kl. 11,28-08-2018 kl. 12,0.258,kWh
571313115103364037,28-08-2018 kl. 10,28-08-2018 kl. 11,0.076,kWh
571313115103364037,28-08-2018 kl. 09,28-08-2018 kl. 10,0.068,kWh
571313115103364037,28-08-2018 kl. 08,28-08-2018 kl. 09,0.068,kWh
571313115103364037,28-08-2018 kl. 07,28-08-2018 kl. 08,0.068,kWh
571313115103364037,28-08-2018 kl. 06,28-08-2018 kl. 07,0.069,kWh
571313115103364037,28-08-2018 kl. 05,28-08-2018 kl. 06,0.069,kWh
571313115103364037,28-08-2018 kl. 04,28-08-2018 kl. 05,0.071,kWh
571313115103364037,28-08-2018 kl. 03,28-08-2018 kl. 04,0.081,kWh
571313115103364037,28-08-2018 kl. 02,28-08-2018 kl. 03,0.151,kWh
571313115103364037,28-08-2018 kl. 01,28-08-2018 kl. 02,0.188,kWh
571313115103364037,28-08-2018 kl. 00,28-08-2018 kl. 01,0.332,kWh
571313115103364037,27-08-2018 kl. 23,28-08-2018 kl. 00,0.337,kWh
571313115103364037,27-08-2018 kl. 22,27-08-2018 kl. 23,0.297,kWh
571313115103364037,27-08-2018 kl. 21,27-08-2018 kl. 22,0.322,kWh
571313115103364037,27-08-2018 kl. 20,27-08-2018 kl. 21,0.88,kWh
571313115103364037,27-08-2018 kl. 19,27-08-2018 kl. 20,0.726,kWh
571313115103364037,27-08-2018 kl. 18,27-08-2018 kl. 19,0.253,kWh
571313115103364037,27-08-2018 kl. 17,27-08-2018 kl. 18,0.353,kWh
571313115103364037,27-08-2018 kl. 16,27-08-2018 kl. 17,0.323,kWh
571313115103364037,27-08-2018 kl. 15,27-08-2018 kl. 16,0.324,kWh
571313115103364037,27-08-2018 kl. 14,27-08-2018 kl. 15,0.3,kWh
571313115103364037,27-08-2018 kl. 13,27-08-2018 kl. 14,0.339,kWh
571313115103364037,27-08-2018 kl. 12,27-08-2018 kl. 13,0.296,kWh
571313115103364037,27-08-2018 kl. 11,27-08-2018 kl. 12,0.389,kWh
571313115103364037,27-08-2018 kl. 10,27-08-2018 kl. 11,0.065,kWh
571313115103364037,27-08-2018 kl. 09,27-08-2018 kl. 10,0.066,kWh
571313115103364037,27-08-2018 kl. 08,27-08-2018 kl. 09,0.067,kWh
571313115103364037,27-08-2018 kl. 07,27-08-2018 kl. 08,0.068,kWh
571313115103364037,27-08-2018 kl. 06,27-08-2018 kl. 07,0.068,kWh
571313115103364037,27-08-2018 kl. 05,27-08-2018 kl. 06,0.069,kWh
571313115103364037,27-08-2018 kl. 04,27-08-2018 kl. 05,0.07,kWh
571313115103364037,27-08-2018 kl. 03,27-08-2018 kl. 04,0.072,kWh
571313115103364037,27-08-2018 kl. 02,27-08-2018 kl. 03,0.075,kWh
571313115103364037,27-08-2018 kl. 01,27-08-2018 kl. 02,0.071,kWh
571313115103364037,23-08-2018 kl. 00,23-08-2018 kl. 01,0.089,kWh
571313115103364037,22-08-2018 kl. 23,23-08-2018 kl. 00,0.091,kWh
571313115103364037,22-08-2018 kl. 22,22-08-2018 kl. 23,0.12,kWh
571313115103364037,22-08-2018 kl. 21,22-08-2018 kl. 22,0.482,kWh
571313115103364037,22-08-2018 kl. 20,22-08-2018 kl. 21,0.21,kWh
571313115103364037,22-08-2018 kl. 19,22-08-2018 kl. 20,0.204,kWh
571313115103364037,22-08-2018 kl. 18,22-08-2018 kl. 19,0.331,kWh
571313115103364037,22-08-2018 kl. 17,22-08-2018 kl. 18,0.327,kWh
571313115103364037,22-08-2018 kl. 16,22-08-2018 kl. 17,0.265,kWh
571313115103364037,22-08-2018 kl. 15,22-08-2018 kl. 16,0.211,kWh
571313115103364037,22-08-2018 kl. 14,22-08-2018 kl. 15,0.146,kWh
571313115103364037,22-08-2018 kl. 13,22-08-2018 kl. 14,0.174,kWh
571313115103364037,22-08-2018 kl. 12,22-08-2018 kl. 13,0.161,kWh
571313115103364037,22-08-2018 kl. 11,22-08-2018 kl. 12,0.087,kWh
571313115103364037,22-08-2018 kl. 10,22-08-2018 kl. 11,0.088,kWh
571313115103364037,22-08-2018 kl. 09,22-08-2018 kl. 10,0.079,kWh
571313115103364037,22-08-2018 kl. 08,22-08-2018 kl. 09,0.075,kWh
571313115103364037,22-08-2018 kl. 07,22-08-2018 kl. 08,0.076,kWh
571313115103364037,22-08-2018 kl. 06,22-08-2018 kl. 07,0.076,kWh
571313115103364037,22-08-2018 kl. 05,22-08-2018 kl. 06,0.08,kWh
571313115103364037,22-08-2018 kl. 04,22-08-2018 kl. 05,0.105,kWh
571313115103364037,22-08-2018 kl. 03,22-08-2018 kl. 04,0.119,kWh
571313115103364037,22-08-2018 kl. 02,22-08-2018 kl. 03,0.081,kWh
571313115103364037,22-08-2018 kl. 01,22-08-2018 kl. 02,0.075,kWh
571313115103364037,22-08-2018 kl. 00,22-08-2018 kl. 01,0.243,kWh
571313115103364037,21-08-2018 kl. 23,22-08-2018 kl. 00,0.302,kWh
571313115103364037,21-08-2018 kl. 22,21-08-2018 kl. 23,0.334,kWh
571313115103364037,21-08-2018 kl. 21,21-08-2018 kl. 22,0.341,kWh
571313115103364037,21-08-2018 kl. 20,21-08-2018 kl. 21,0.318,kWh
571313115103364037,21-08-2018 kl. 19,21-08-2018 kl. 20,0.309,kWh
571313115103364037,21-08-2018 kl. 18,21-08-2018 kl. 19,0.31,kWh
571313115103364037,21-08-2018 kl. 17,21-08-2018 kl. 18,0.206,kWh
571313115103364037,21-08-2018 kl. 16,21-08-2018 kl. 17,0.171,kWh
571313115103364037,21-08-2018 kl. 15,21-08-2018 kl. 16,0.263,kWh
571313115103364037,21-08-2018 kl. 14,21-08-2018 kl. 15,0.3,kWh
571313115103364037,21-08-2018 kl. 13,21-08-2018 kl. 14,0.285,kWh
571313115103364037,21-08-2018 kl. 12,21-08-2018 kl. 13,0.099,kWh
571313115103364037,21-08-2018 kl. 11,21-08-2018 kl. 12,0.082,kWh
571313115103364037,21-08-2018 kl. 10,21-08-2018 kl. 11,0.089,kWh
571313115103364037,21-08-2018 kl. 09,21-08-2018 kl. 10,0.078,kWh
